starting compiler:
Linp	 <pos> 3
Linp	 <pos> 2
Linp	 <pos> 1
Lwt		 <pos> 0	 <cm_addr> 898
Lwt		 <pos> 0	 <cm_addr> 914
Lwt		 <pos> 0	 <cm_addr> 930
Lwt		 <pos> 0	 <cm_addr> 946
Lwt		 <pos> 0	 <cm_addr> 962
Lwt		 <pos> 0	 <cm_addr> 978
Lwt		 <pos> 0	 <cm_addr> 994
Lwt		 <pos> 0	 <cm_addr> 1010
Lwt		 <pos> 0	 <cm_addr> 1026
Lwt		 <pos> 0	 <cm_addr> 1042
Lwt		 <pos> 0	 <cm_addr> 1058
Lwt		 <pos> 0	 <cm_addr> 1074
Lwt		 <pos> 0	 <cm_addr> 1090
Lwt		 <pos> 0	 <cm_addr> 1106
Lwt		 <pos> 0	 <cm_addr> 1122
Lwt		 <pos> 0	 <cm_addr> 1138
Lwt		 <pos> 0	 <cm_addr> 1154
Lwt		 <pos> 0	 <cm_addr> 1170
Lwt		 <pos> 0	 <cm_addr> 1186
Lwt		 <pos> 0	 <cm_addr> 1202
Lwt		 <pos> 0	 <cm_addr> 1218
Lwt		 <pos> 0	 <cm_addr> 1234
Lwt		 <pos> 0	 <cm_addr> 1250
Lwt		 <pos> 0	 <cm_addr> 1266
Lwt		 <pos> 0	 <cm_addr> 1282
Lwt		 <pos> 0	 <cm_addr> 1298
Lwt		 <pos> 0	 <cm_addr> 1314
Lwt		 <pos> 0	 <cm_addr> 1330
Lwt		 <pos> 0	 <cm_addr> 1346
Lwt		 <pos> 0	 <cm_addr> 1362
Lwt		 <pos> 0	 <cm_addr> 1378
Lwt		 <pos> 0	 <cm_addr> 1394
Lwt		 <pos> 0	 <cm_addr> 1410
Lwt		 <pos> 0	 <cm_addr> 1426
Lwt		 <pos> 0	 <cm_addr> 1442
Lwt		 <pos> 0	 <cm_addr> 1458
Lwt		 <pos> 0	 <cm_addr> 1474
Lwt		 <pos> 0	 <cm_addr> 1490
Lwt		 <pos> 0	 <cm_addr> 1506
